model,allocation_mae,allocation_rmse,allocation_js,allocation_l1,risky_share_mae,risky_share_rmse,risky_share_corr,risk_acc,risk_macro_f1,risk_weighted_f1
supcon_003,0.1718975007534027,0.2798685133457184,0.13036401569843292,0.6875900030136108,0.23237642645835876,0.28732019662857056,0.3489715595756365,0.31041524846834584,0.2081730980263866,0.29256156154684676
supcon_final,0.1718975007534027,0.2798685133457184,0.13036401569843292,0.6875900030136108,0.23237642645835876,0.28732019662857056,0.3489715595756365,0.31041524846834584,0.2081730980263866,0.29256156154684676
supcon_005,0.171901673078537,0.27872270345687866,0.1299557387828827,0.687606692314148,0.2336064726114273,0.28787878155708313,0.3463864765010131,0.3063308373042886,0.20553467030384248,0.2900754640317917
source_tuned,0.17223405838012695,0.2802426517009735,0.13052482903003693,0.6889362335205078,0.23332422971725464,0.287138968706131,0.34817956604416894,0.3049693669162696,0.2057428896473265,0.28583335075829563
supcon_010,0.17261230945587158,0.2821686863899231,0.13246728479862213,0.6904491782188416,0.23497366905212402,0.2865143120288849,0.34917077534761315,0.29407760381211706,0.20165937602076647,0.27582596042747515
catboost,0.1727185845375061,0.2839373052120209,0.13312198221683502,0.6908743977546692,0.22529342770576477,0.2986915111541748,0.35079583671163367,0.37031994554118447,0.23365562875052664,0.34264035043616087
supcon_001,0.1727932244539261,0.2787902057170868,0.13114413619041443,0.6911728978157043,0.23727922141551971,0.2839691936969757,0.355455801724582,0.2532334921715453,0.17383171675462056,0.22222639449255097
supcon_003_knn_k20_alpha0.7,0.17583663761615753,0.2702070474624634,0.12821899354457855,0.7033466100692749,0.23357132077217102,0.2853413224220276,0.35279332223687304,0.29407760381211706,0.20322319496773328,0.27690136208000143
supcon_final_knn_k20_alpha0.7,0.17583663761615753,0.2702070474624634,0.12821899354457855,0.7033466100692749,0.23357132077217102,0.2853413224220276,0.35279332223687304,0.29407760381211706,0.20322319496773328,0.27690136208000143
supcon_005_knn_k20_alpha0.7,0.1759856641292572,0.26969295740127563,0.12819212675094604,0.7039427757263184,0.23443123698234558,0.2857898771762848,0.350460896258021,0.29543907420013615,0.20401652306504472,0.2769220643942679
source_tuned_knn_k20_alpha0.7,0.17607663571834564,0.27041536569595337,0.12829311192035675,0.7043066620826721,0.23427307605743408,0.2853122353553772,0.3521379678639265,0.292716133424098,0.19963259691128887,0.27153878232148704
supcon_010_knn_k20_alpha0.7,0.17634083330631256,0.2717518210411072,0.12948498129844666,0.7053633332252502,0.2354726344347,0.2849613428115845,0.3531752946633475,0.28454731109598363,0.19785341825022312,0.26384243181447964
supcon_001_knn_k20_alpha0.7,0.17638620734214783,0.2698884606361389,0.1291118711233139,0.7055448293685913,0.2371494621038437,0.2835308015346527,0.3580209362098002,0.24642614023144996,0.16891598497991786,0.21205861818537772
group_mean_AGECL_HOUSECL_EDCL_OCCAT1,0.1946837604045868,0.2706708312034607,0.1404893547296524,0.7787349820137024,0.24518842995166779,0.2923247814178467,0.2779605069329669,0.22123893805309736,0.1513309207637052,0.18099374681848082
group_mean_AGECL_HOUSECL_EDCL,0.19790516793727875,0.2737102508544922,0.1432395577430725,0.7916205525398254,0.2412320375442505,0.2889948785305023,0.3092643053712145,0.22396187882913546,0.15400291446245218,0.1860520456962707
group_mean_AGECL_HOUSECL,0.2032690942287445,0.2770291566848755,0.14851614832878113,0.813076376914978,0.2505857050418854,0.29557719826698303,0.22699380295788169,0.179714091218516,0.11179713865356608,0.10622444939129927
group_mean_AGECL,0.20787310600280762,0.2810569405555725,0.15268035233020782,0.8314923644065857,0.2576908767223358,0.3007332384586334,0.13661619017379142,0.1817562968005446,0.10308649980547271,0.0891135425870886
mean_allocation,0.21546806395053864,0.2873382866382599,0.1602223515510559,0.8618722558021545,0.26219555735588074,0.30332207679748535,0.0,0.18039482641252552,0.06113033448673587,0.0551379803913717
