risk_label,sample_size,portfolio,num_periods,sharpe_ratio,excess_sharpe_vs_benchmark,annualized_return,annualized_volatility,cumulative_return,num_return_days,num_test_users,user_sharpe_hit_rate_vs_benchmark,user_sharpe_mean,user_sharpe_median,mean_weight_cash,mean_weight_bond,mean_weight_pension,mean_weight_equity
1,20,benchmark_etf,3,1.0196438033024255,0.0,0.2788150750244877,0.23039615484148765,0.6478302353501426,520.3333333333334,,,,,0.0,0.0,0.0,1.0
1,20,supcon_final_proxy_etf,3,1.958322701423066,0.9386788981206403,0.0623918933221134,0.03126686477147023,0.13334834214399982,520.3333333333334,20.0,0.85,2.3584950877177353,1.81986973046582,0.5956064462661743,0.004319655708968639,0.3687230050563812,0.031350888311862946
2,20,benchmark_etf,3,1.0196438033024255,0.0,0.2788150750244877,0.23039615484148765,0.6478302353501426,520.3333333333334,,,,,0.0,0.0,0.0,1.0
2,20,supcon_final_proxy_etf,3,1.6911395921294952,0.6714957888270695,0.08349822397373179,0.04790297456751164,0.17827501705195167,520.3333333333334,20.0,0.85,1.746966220809017,1.6201735805020014,0.4357112944126129,0.006520339287817478,0.46531957387924194,0.09244875609874725
3,20,benchmark_etf,3,1.0196438033024255,0.0,0.2788150750244877,0.23039615484148765,0.6478302353501426,520.3333333333334,,,,,0.0,0.0,0.0,1.0
3,20,supcon_final_proxy_etf,3,1.6784855755188914,0.658841772216466,0.08663574593395011,0.04987882813086509,0.18473344374197645,520.3333333333334,20.0,0.8666666666666667,1.7876861150474739,1.6157014576278603,0.4381345808506012,0.00692758709192276,0.4435657560825348,0.11137206852436066
4,20,benchmark_etf,3,1.0196438033024255,0.0,0.2788150750244877,0.23039615484148765,0.6478302353501426,520.3333333333334,,,,,0.0,0.0,0.0,1.0
4,20,supcon_final_proxy_etf,3,1.7110900273538643,0.6914462240514386,0.08207979373137679,0.04655467567079105,0.17513943553321867,520.3333333333334,20.0,0.8833333333333333,1.7301888702236383,1.6346589810098469,0.4536634087562561,0.006233370862901211,0.4490532875061035,0.09104994684457779
5,20,benchmark_etf,3,1.0196438033024255,0.0,0.2788150750244877,0.23039615484148765,0.6478302353501426,520.3333333333334,,,,,0.0,0.0,0.0,1.0
5,20,supcon_final_proxy_etf,3,1.7365338681985152,0.7168900648960895,0.0788773595209759,0.0441931918549539,0.16837235065839393,520.3333333333334,20.0,0.8666666666666667,1.7871948648013045,1.6914384260244468,0.47023138403892517,0.004806251730769873,0.4464346468448639,0.07852774858474731
